policyID,county,hu_site_limit,fr_site_limit,tiv_2012,hu_site_deductible
937659,SUWANNEE COUNTY,9246.6,9246.6,10880.22,0
294022,SUWANNEE COUNTY,96164.64,0,69357.78,0
410500,SUWANNEE COUNTY,11095.92,0,12737.89,0
524433,SUWANNEE COUNTY,218475,218475,199030.29,4369.5
779298,SUWANNEE COUNTY,1400904,1400904,1772984.1,0
491831,SUWANNEE COUNTY,4365,4365,4438.05,87.3
814637,SUWANNEE COUNTY,4365,4365,6095.72,87.3
737515,SUWANNEE COUNTY,39789,39789,58106.58,0
222653,SUWANNEE COUNTY,24867,24867,18969.79,0
788543,SUWANNEE COUNTY,213876,213876,261435.18,0
691681,SUWANNEE COUNTY,69435,69435,93674.34,1388.7
368807,SUWANNEE COUNTY,14922,14922,12333.03,0
174002,SUWANNEE COUNTY,165546,165546,239134.51,0
198760,SUWANNEE COUNTY,72837,72837,86637.86,0
831395,SUWANNEE COUNTY,72837,72837,98147.86,0
305698,SUWANNEE COUNTY,19440,19440,30658.59,388.8
515722,SUWANNEE COUNTY,9945,9945,11551.12,198.9
415582,SUWANNEE COUNTY,255878.61,0,345894.66,0
783533,SUWANNEE COUNTY,153527.17,0,138228.8,0
640802,SUWANNEE COUNTY,255878.61,0,177339.74,0
403866,SUWANNEE COUNTY,102351.45,0,95132.8,0
828788,SUWANNEE COUNTY,155489.66,0,145139.65,0
751490,SUWANNEE COUNTY,137233.8,0,114919.58,0
972562,SUWANNEE COUNTY,123596.05,0,183015.09,0
367541,SUWANNEE COUNTY,107111.11,0,88218.85,0
481360,SUWANNEE COUNTY,96309.32,0,85911,0
920232,NASSAU COUNTY,104031.7,0,168443.97,0
727659,NASSAU COUNTY,338944.5,338944.5,485816.61,0
471817,NASSAU COUNTY,272349,272349,414565.56,0
983043,NASSAU COUNTY,129690,129690,129635.53,0
578286,NASSAU COUNTY,123210,123210,120345.61,0
347276,NASSAU COUNTY,3698.64,0,3939.13,0
477786,NASSAU COUNTY,2115760.5,0,3057739.39,0
265907,NASSAU COUNTY,93548.58,0,118401.07,0
107560,NASSAU COUNTY,1037311.14,0,1487255.23,0
908183,NASSAU COUNTY,15463.3,0,11825.56,0
356024,NASSAU COUNTY,13893.35,0,13988.5,0
575299,NASSAU COUNTY,316618.23,0,230328.99,0
790478,NASSAU COUNTY,54834.66,0,63053.72,0
801776,NASSAU COUNTY,295269.11,0,488965.65,0
291781,NASSAU COUNTY,723734.17,0,955908.09,0
537286,NASSAU COUNTY,1741572,1741572,1455184.42,0
289305,COLUMBIA COUNTY,135450,135450,164978.1,0
697409,COLUMBIA COUNTY,60300,60300,77678.46,0
633944,COLUMBIA COUNTY,22500,22500,19501.76,0
963511,COLUMBIA COUNTY,34212.42,0,33250.37,0
729649,COLUMBIA COUNTY,460128.2,0,626142.46,0
862584,COLUMBIA COUNTY,32169.69,0,37291.11,0
371891,COLUMBIA COUNTY,50550.75,0,49526.38,0
785595,COLUMBIA COUNTY,42300,42300,53762.62,0
567696,COLUMBIA COUNTY,10171.26,0,16798.29,0
219025,COLUMBIA COUNTY,155342.88,0,176189.89,0
447216,COLUMBIA COUNTY,3698.64,0,4424.48,0
305141,COLUMBIA COUNTY,4623.3,4623.3,4525.86,0
625575,COLUMBIA COUNTY,33287.76,0,27375.62,0
262109,COLUMBIA COUNTY,21267.18,0,24840.49,0
228457,COLUMBIA COUNTY,729556.74,0,889825.76,0
622799,COLUMBIA COUNTY,350446.14,0,438049.26,0
233271,COLUMBIA COUNTY,2135964.6,2135964.6,1728721.59,0
932950,COLUMBIA COUNTY,4623.3,4623.3,4782.1,0
641952,COLUMBIA COUNTY,2469639.6,2469639.6,2708463.63,0
796260,COLUMBIA COUNTY,914073.3,914073.3,1296439.3,0
301822,COLUMBIA COUNTY,3042940.5,3042940.5,3181868.99,0
559927,COLUMBIA COUNTY,234997.65,0,255975.89,0
224400,COLUMBIA COUNTY,912600,912600,1147247.71,0
123936,COLUMBIA COUNTY,1920744.9,1920744.9,2837762.3,0
333818,COLUMBIA COUNTY,455754.6,455754.6,696809.59,0
254323,COLUMBIA COUNTY,1552693.95,0,1552594.58,0
247444,COLUMBIA COUNTY,8910,8910,13521.83,0
882598,COLUMBIA COUNTY,398968.2,398968.2,424087.24,0
386918,COLUMBIA COUNTY,4500,4500,4238.41,0
497337,COLUMBIA COUNTY,31071.6,31071.6,57802.5,0
526844,COLUMBIA COUNTY,4956125.85,0,7279557.65,0
623400,COLUMBIA COUNTY,40500,40500,34160.94,0
826170,COLUMBIA COUNTY,135868.99,0,234280.26,0
185483,COLUMBIA COUNTY,36784.23,0,58447.64,0
920003,COLUMBIA COUNTY,1086940.9,0,1770235.43,0
274246,COLUMBIA COUNTY,16767.17,0,17228.6,0
423636,COLUMBIA COUNTY,1404900,1404900,1840643.78,42147
970906,COLUMBIA COUNTY,4696520.5,0,6342697.9,0
227898,COLUMBIA COUNTY,67892.48,0,86628.09,0
525138,COLUMBIA COUNTY,86056.32,0,125938.17,0
923627,COLUMBIA COUNTY,67892.48,0,64169.8,0
619743,COLUMBIA COUNTY,67892.48,0,80898.23,0
910727,COLUMBIA COUNTY,86056.32,0,91244.65,0
363647,COLUMBIA COUNTY,67892.48,0,92333.77,0
512519,COLUMBIA COUNTY,101009.36,0,98181.1,0
904304,COLUMBIA COUNTY,67892.48,0,66272.56,0
835349,COLUMBIA COUNTY,67892.48,0,99945.87,0
891725,COLUMBIA COUNTY,86056.32,0,139415.11,0
923503,COLUMBIA COUNTY,86056.32,0,106664.4,0
292347,COLUMBIA COUNTY,132603.34,0,115117.07,0
363828,COLUMBIA COUNTY,132603.34,0,216561.94,0
110490,COLUMBIA COUNTY,91764.15,0,70364.02,0
480733,COLUMBIA COUNTY,457854.5,0,345588.57,0
993346,COLUMBIA COUNTY,385480.82,0,558330.42,0
934992,ST  JOHNS COUNTY,213596.46,0,190329.82,0
645841,ST  JOHNS COUNTY,1051338.42,0,1069841.98,0
747846,ST  JOHNS COUNTY,6472.62,0,9957.87,0
482457,ST  JOHNS COUNTY,159041.52,0,249984.64,0
574787,ST  JOHNS COUNTY,12945.24,0,19024.97,0
831418,ST  JOHNS COUNTY,29589.12,0,35207.53,0
968562,ST  JOHNS COUNTY,12945.24,0,16859.05,0
576324,ST  JOHNS COUNTY,29061,29061,40749.33,0
290435,ST  JOHNS COUNTY,48087,48087,68008.1,0
526086,ST  JOHNS COUNTY,128628,128628,133425.18,0
119823,ST  JOHNS COUNTY,128628,128628,168246.71,0
497414,ST  JOHNS COUNTY,128628,128628,176279.14,0
340883,ST  JOHNS COUNTY,4968,4968,5265.92,0
892551,ST  JOHNS COUNTY,157005,157005,131774.3,3140.1
670595,ST  JOHNS COUNTY,459,459,847.36,0
194101,ST  JOHNS COUNTY,459,459,428.69,0
167200,ST  JOHNS COUNTY,1062,1062,1602.72,0
139064,ST  JOHNS COUNTY,2304,2304,2474.16,0
846636,ST  JOHNS COUNTY,1476,1476,1935.04,0
310177,NASSAU COUNTY,185040,185040,313975.87,0
865452,NASSAU COUNTY,11095.92,0,11961.62,0
783429,NASSAU COUNTY,8321.94,0,9646.79,0
878060,NASSAU COUNTY,199726.56,0,277743.75,0
935342,NASSAU COUNTY,118356.48,0,182860.76,0
456376,NASSAU COUNTY,17568.54,0,29936.79,0
363001,NASSAU COUNTY,147945.6,147945.6,238338.59,0
478864,NASSAU COUNTY,724933.44,0,767347.85,0
600402,NASSAU COUNTY,8284485.6,0,8073943.68,0
483983,NASSAU COUNTY,438498,0,636264.11,0
991615,NASSAU COUNTY,99960.9,0,88679.21,0
644573,NASSAU COUNTY,669692.78,0,841130.78,0
853278,NASSAU COUNTY,240539.39,0,412765.59,0
100658,NASSAU COUNTY,331518.28,0,464703.76,0
433115,NASSAU COUNTY,5919.86,0,9839.94,0
760337,NASSAU COUNTY,77426.73,0,73196.13,0
884738,NASSAU COUNTY,765763.8,0,735948.78,0
610102,NASSAU COUNTY,7532014.45,0,10710000,0
830823,NASSAU COUNTY,963962.79,0,977226.92,0
618364,NASSAU COUNTY,121066.57,0,115414.7,0
712563,NASSAU COUNTY,70964.84,0,72362.85,0
493030,NASSAU COUNTY,755749,0,658571.77,0
188150,NASSAU COUNTY,2162232,2162232,2520816.55,0
589642,NASSAU COUNTY,615141.68,0,895926.17,0
846109,NASSAU COUNTY,135000,135000,138827.52,4050
399079,NASSAU COUNTY,161748,161748,235301.93,0
680135,NASSAU COUNTY,164484,164484,194814.85,0
621379,NASSAU COUNTY,170532,170532,178465.15,0
606710,NASSAU COUNTY,181980,181980,181216.05,5459.4
443319,NASSAU COUNTY,181980,181980,151151.13,5459.4
228591,NASSAU COUNTY,186012,186012,176389.97,0
721610,NASSAU COUNTY,192348,192348,210005.55,0
507395,NASSAU COUNTY,197604,197604,203450.71,0
213399,NASSAU COUNTY,198468,198468,202538.58,0
579400,NASSAU COUNTY,198612,198612,226675.88,0
509951,NASSAU COUNTY,200052,200052,335395.98,0
930798,NASSAU COUNTY,201276,201276,216909.11,0
729247,NASSAU COUNTY,207324,207324,252344.61,0
288344,NASSAU COUNTY,208836,208836,310058.81,0
275351,NASSAU COUNTY,212436,212436,225030.91,0
976690,NASSAU COUNTY,218052,218052,332681.94,0
507111,NASSAU COUNTY,218412,218412,222125,0
547458,NASSAU COUNTY,221076,221076,277280.37,0
827732,NASSAU COUNTY,226764,226764,303833.37,0
229489,NASSAU COUNTY,237132,237132,282225.02,0
175251,NASSAU COUNTY,239652,239652,178583.88,0
590043,NASSAU COUNTY,245052,245052,241166.46,0
476037,NASSAU COUNTY,245052,245052,306551.23,0
674960,NASSAU COUNTY,257868,257868,338372.33,0
743790,NASSAU COUNTY,6381518.4,6381518.4,8757880.98,0
817283,NASSAU COUNTY,15390000,15390000,11790000,461349
201980,NASSAU COUNTY,235696.5,235696.5,353171.41,0
351505,NASSAU COUNTY,18000,18000,16830,540
798806,NASSAU COUNTY,1772074.8,1772074.8,1768133.71,0
153643,NASSAU COUNTY,95922,95922,150073.42,0
683653,NASSAU COUNTY,20763,20763,20966.31,0
475264,NASSAU COUNTY,16560000,0,20610000,497691
912944,NASSAU COUNTY,582759.1,0,1020490.44,0
945134,NASSAU COUNTY,2244.53,0,2937.46,0
219959,NASSAU COUNTY,196396.18,0,190425.74,0
793504,NASSAU COUNTY,21500.33,0,19687.96,0
450423,NASSAU COUNTY,74091.86,0,110035.31,0
505178,NASSAU COUNTY,86863.23,0,123807.2,0
408688,NASSAU COUNTY,796134.02,0,838972.4,0
477759,NASSAU COUNTY,298522.2,0,227585.86,0
882441,NASSAU COUNTY,23118.64,0,23505.92,0
727602,NASSAU COUNTY,63407.91,0,78862,0
313226,NASSAU COUNTY,285728.39,0,288837.12,0
337027,NASSAU COUNTY,9016.27,0,9045.12,0
649251,NASSAU COUNTY,80915.23,0,98214.9,0
142564,NASSAU COUNTY,28898.3,0,36004.04,0
197782,NASSAU COUNTY,1505741.49,0,2197471.6,0
709787,NASSAU COUNTY,53078.59,0,62305.99,0
655065,NASSAU COUNTY,162952.72,0,185883.43,0
176778,NASSAU COUNTY,2261249.55,0,1825782.64,0
559179,NASSAU COUNTY,1363101.75,0,1619364.87,0
698071,NASSAU COUNTY,295716.54,0,247758.41,0
642950,NASSAU COUNTY,392231.24,0,344336.66,0
477240,NASSAU COUNTY,192917.17,0,238214.12,0
672348,NASSAU COUNTY,168339.59,0,269983.03,0
922844,NASSAU COUNTY,316029.52,0,337216.14,0
948580,NASSAU COUNTY,151505.63,0,185310.32,0
364552,NASSAU COUNTY,280565.98,0,329505.66,0
561601,NASSAU COUNTY,460128.2,0,792672.06,0
584749,NASSAU COUNTY,324000,324000,506745.07,9720
601327,COLUMBIA COUNTY,212850,212850,340143.88,0
302578,COLUMBIA COUNTY,135000,135000,150719.13,0
756585,COLUMBIA COUNTY,94284,94284,100714.17,0
627591,COLUMBIA COUNTY,6300,6300,9566.42,0
663563,COLUMBIA COUNTY,1248407.1,0,1417531.31,0
108959,COLUMBIA COUNTY,114170.34,0,136068.22,0
951069,COLUMBIA COUNTY,498344.66,0,434656.21,0
490641,BAKER COUNTY,910.22,0,1346.55,0
443968,BAKER COUNTY,3195.34,0,4551.39,0
433688,CLAY COUNTY,172157.99,0,171582.99,0
168578,CLAY COUNTY,945000,945000,750524.67,0
294375,CLAY COUNTY,76500,76500,121368.78,0
902110,CLAY COUNTY,76500,76500,94517.28,0
279816,CLAY COUNTY,431726.4,0,640896.11,0
994565,CLAY COUNTY,11767.98,0,14137.95,0
930535,CLAY COUNTY,15981.99,0,25400.89,0
844642,CLAY COUNTY,35302.09,0,47059.67,0
292887,CLAY COUNTY,26396.15,0,28938.78,0
655128,CLAY COUNTY,7536.5,0,10216,0
164038,CLAY COUNTY,13198.07,0,16695.56,0
163057,CLAY COUNTY,29410.75,0,25890.52,0
327730,CLAY COUNTY,13198.07,0,11239.53,0
218187,CLAY COUNTY,25780.36,0,35155,0
697530,CLAY COUNTY,9806.65,0,16990.72,0
619053,CLAY COUNTY,15992.1,0,23431.62,0
431406,CLAY COUNTY,9806.65,0,7026.15,0
256801,CLAY COUNTY,13198.07,0,22117.33,0
571398,CLAY COUNTY,304842.43,0,250185.41,0
239669,CLAY COUNTY,13198.07,0,13200.19,0
530369,CLAY COUNTY,48252.01,0,36139.79,0
948187,CLAY COUNTY,9806.65,0,13926.22,0
571059,CLAY COUNTY,9190.86,0,14678.43,0
470539,CLAY COUNTY,68931.45,0,85159.98,0
791046,CLAY COUNTY,68931.45,0,99578.92,0
563971,CLAY COUNTY,27572.58,0,30033.98,0
823903,CLAY COUNTY,13786.29,0,22316.42,0
812504,CLAY COUNTY,9190.86,0,10540.08,0
597719,CLAY COUNTY,102937.63,0,94857.02,0
716513,CLAY COUNTY,19605.94,0,18479.62,0
378286,CLAY COUNTY,13198.07,0,16161.17,0
698982,CLAY COUNTY,9806.65,0,12391.68,0
624550,CLAY COUNTY,9806.65,0,13533.17,0
666076,CLAY COUNTY,11764.3,0,11058.82,0
474145,CLAY COUNTY,7619.22,0,6304.92,0
572929,CLAY COUNTY,13198.07,0,18039.84,0
640205,CLAY COUNTY,6433.6,0,8588.09,0
295930,CLAY COUNTY,6617.42,0,5824.75,0
823004,CLAY COUNTY,9806.65,0,9970.77,0
230536,CLAY COUNTY,8712.94,0,10813.94,0
936142,CLAY COUNTY,301000.66,0,321265.52,0
724639,CLAY COUNTY,57442.87,0,86664.06,0
119986,CLAY COUNTY,18381.72,0,15298.37,0
603370,CLAY COUNTY,3032.98,0,4916.61,0
532496,CLAY COUNTY,3032.98,0,4227.37,0
786954,CLAY COUNTY,9007.04,0,7864.77,0
416348,CLAY COUNTY,18381.72,0,27063.92,0
506364,CLAY COUNTY,652150.86,0,614169.6,0
311994,CLAY COUNTY,75824.59,0,85602.93,0
807442,CLAY COUNTY,91908.6,0,94516.04,0
235695,CLAY COUNTY,45954.3,0,41626.05,0
481294,CLAY COUNTY,64336.02,0,69354.23,0
292670,CLAY COUNTY,234366.92,0,184597.7,0
127739,CLAY COUNTY,13786.29,0,17192.67,0
869056,CLAY COUNTY,22977.15,0,22060.5,0
514471,CLAY COUNTY,18381.72,0,27269.28,0
903764,CLAY COUNTY,91908.6,0,130879.31,0
192068,CLAY COUNTY,43840.4,0,39041.19,0
109815,CLAY COUNTY,38601.61,0,63272.13,0
495339,CLAY COUNTY,413588.69,0,420116.77,0
752123,CLAY COUNTY,13786.29,0,18320.32,0
412775,CLAY COUNTY,22977.15,0,28403.71,0
249958,CLAY COUNTY,25274.86,0,38878,0
754919,CLAY COUNTY,27572.58,0,24486.1,0
829637,CLAY COUNTY,137862.9,0,127544.55,0
931429,CLAY COUNTY,91908.6,0,97127.17,0
565451,CLAY COUNTY,22977.15,0,31074.07,0
722334,CLAY COUNTY,27572.58,0,36234.34,0
630898,CLAY COUNTY,77254.74,0,114400.37,0
166536,CLAY COUNTY,212887.5,0,184477.66,0
469135,CLAY COUNTY,653122.95,0,1049829.83,0
678786,CLAY COUNTY,635702.59,0,803088.17,0
284473,CLAY COUNTY,781465.69,0,1174149.07,0
499389,CLAY COUNTY,638884.47,0,926230.42,0
541241,CLAY COUNTY,1939500,1939500,3345521.13,58185
797586,CLAY COUNTY,6760449.39,0,6739694.81,0
812823,CLAY COUNTY,162366.3,162366.3,168942.46,0
598244,CLAY COUNTY,648862.42,0,981993.57,0
788363,CLAY COUNTY,240578.59,0,192335.37,0
737787,CLAY COUNTY,13467.17,0,14335.1,0
445518,CLAY COUNTY,19639.62,0,24001.58,0
758347,CLAY COUNTY,604316.67,0,622958.63,0
195133,CLAY COUNTY,171459.48,0,160656.16,0
991548,CLAY COUNTY,822091.98,0,885491.72,0
696936,CLAY COUNTY,85444.69,0,124562.37,0
393176,CLAY COUNTY,26934.33,0,34616.01,0
626647,CLAY COUNTY,162728.27,0,266906.9,0
915781,CLAY COUNTY,589356.89,0,472322.4,0
827852,CLAY COUNTY,13657.95,0,19860.19,0
800420,CLAY COUNTY,64726.57,0,71551.34,0
728346,CLAY COUNTY,2603338.04,0,3496699.52,0
928642,CLAY COUNTY,67335.83,0,69182.52,0
442061,CLAY COUNTY,22445.28,0,24191.61,0
810826,CLAY COUNTY,31984.52,0,52870.8,0
336798,CLAY COUNTY,44890.56,0,60419.64,0
830917,CLAY COUNTY,15341.35,0,20025.98,0
984232,CLAY COUNTY,1748172.94,0,2274163.21,0
203667,CLAY COUNTY,212051.77,0,205713.96,0
395084,CLAY COUNTY,238222.96,0,347967.51,0
869242,CLAY COUNTY,174354.92,0,187374.87,0
704537,CLAY COUNTY,29086.84,0,39703.53,0
692691,CLAY COUNTY,49883.51,0,54682.3,0
580758,CLAY COUNTY,33850.85,0,47324.63,0
515486,CLAY COUNTY,14204.49,0,21284.3,0
884079,CLAY COUNTY,60112.94,0,67485.56,0
491095,CLAY COUNTY,776595.4,0,788694.76,0
579764,CLAY COUNTY,88434.4,0,110143.27,0
263177,CLAY COUNTY,61724.52,0,50970.62,0
710739,CLAY COUNTY,33667.92,0,45290.08,0
156129,CLAY COUNTY,64275.42,0,80342.73,0
178800,BRADFORD COUNTY,216363.6,0,347251.89,0
406073,BRADFORD COUNTY,106317.27,0,105384.87,0
450089,BRADFORD COUNTY,170207.57,0,148194.97,0
894206,NASSAU COUNTY,189999.9,0,291171.43,0
472007,NASSAU COUNTY,635996.7,0,1010881.77,0
500287,NASSAU COUNTY,1729530,0,2062651.31,0
365732,NASSAU COUNTY,110218.53,0,114569.52,0
365145,NASSAU COUNTY,123995.38,0,142594.69,0
237841,NASSAU COUNTY,13777.78,0,22931.74,0
497561,NASSAU COUNTY,38954.52,0,30813.03,0
245837,NASSAU COUNTY,428020.45,0,590955.85,0
732075,NASSAU COUNTY,38954.52,0,44390.39,0
657625,NASSAU COUNTY,3505598.5,0,5610030.32,0
790556,NASSAU COUNTY,140160.38,0,195355.54,0
207626,NASSAU COUNTY,60397.19,0,73202.3,0
902008,NASSAU COUNTY,1138559.14,0,1124171.17,0
135936,HAMILTON COUNTY,4623.3,4623.3,7055.16,0
997759,HAMILTON COUNTY,34212.42,0,42302.97,0
470224,HAMILTON COUNTY,11095.92,0,10246.42,0
367761,HAMILTON COUNTY,25899.23,0,35000.32,0
285586,HAMILTON COUNTY,10211.17,0,18829.64,0
122164,HAMILTON COUNTY,4084.47,0,3579.34,0
152913,HAMILTON COUNTY,26920.35,0,28007.93,0
655156,HAMILTON COUNTY,80668.21,0,70626.63,0
989201,HAMILTON COUNTY,70642.7,0,63476.71,0
207985,HAMILTON COUNTY,263169.6,0,368477.97,0
732449,HAMILTON COUNTY,15873.72,0,12857.71,0
665653,HAMILTON COUNTY,246924.56,0,419574.22,0
939634,HAMILTON COUNTY,942304.98,0,1133298.89,0
981796,HAMILTON COUNTY,12996.03,0,17111.87,0
269573,HAMILTON COUNTY,42886.9,0,66233.75,0
602123,HAMILTON COUNTY,2784.86,0,4613.35,0
336717,HAMILTON COUNTY,105764.12,0,116617.63,0
238449,HAMILTON COUNTY,18419.71,0,26153.37,0
530357,HAMILTON COUNTY,36836.28,0,38632.56,0
896911,HAMILTON COUNTY,214534.66,0,252790.47,0
391646,HAMILTON COUNTY,44199.98,0,54449.07,0
710345,HAMILTON COUNTY,51130.14,0,53139.05,0
944525,HAMILTON COUNTY,194537.7,0,156395.86,0
800878,HAMILTON COUNTY,28776.92,0,32189.87,0
866106,HAMILTON COUNTY,151310.92,0,158091.16,0
204794,HAMILTON COUNTY,179562.23,0,147384.67,0
849458,HAMILTON COUNTY,16833.96,0,19110.92,0
806471,HAMILTON COUNTY,24914.26,0,33937.58,0
464589,HAMILTON COUNTY,169461.85,0,242525.33,0
591943,UNION COUNTY,407520,407520,652935.06,0
973133,UNION COUNTY,137160,137160,235651.85,0
743965,UNION COUNTY,123300,123300,117740.65,0
528185,UNION COUNTY,37823.84,0,66198.38,0
219113,UNION COUNTY,181487.52,0,272492.62,0
376803,UNION COUNTY,948148.79,0,1344182.96,0
233559,COLUMBIA COUNTY,585000,585000,516026.16,0
579117,COLUMBIA COUNTY,82620,82620,67513.1,0
517674,COLUMBIA COUNTY,61027.56,0,66963.34,0
980808,COLUMBIA COUNTY,22500,22500,15583.05,0
143584,COLUMBIA COUNTY,874801.8,0,1488037.86,0
489643,COLUMBIA COUNTY,504230.4,0,381198.18,0
986109,COLUMBIA COUNTY,67591.02,0,107281.96,0
654640,COLUMBIA COUNTY,135763.24,0,123495.13,0
700895,COLUMBIA COUNTY,702820.8,702820.8,800541,0
407962,COLUMBIA COUNTY,129600000,0,120600000,0
494610,COLUMBIA COUNTY,67892.48,0,51746.63,0
744305,COLUMBIA COUNTY,67892.48,0,95471.01,0
512991,COLUMBIA COUNTY,102221.41,0,123969.01,0
507789,COLUMBIA COUNTY,105926,0,149616.24,0
186262,COLUMBIA COUNTY,4542119.64,0,4765537.43,0
978388,COLUMBIA COUNTY,191242.75,0,275087.39,0
784347,COLUMBIA COUNTY,921352.86,0,1031325.54,0
679408,COLUMBIA COUNTY,35322.13,0,51938.8,0
306619,COLUMBIA COUNTY,108562.2,0,128945.84,0
457004,COLUMBIA COUNTY,26195.88,0,31749.41,0
329255,COLUMBIA COUNTY,101204.64,0,159306.22,0
900892,COLUMBIA COUNTY,16160.6,0,12760.09,0
633241,COLUMBIA COUNTY,22781.96,0,31753.49,0
502372,COLUMBIA COUNTY,114298.09,0,87129.43,0
719075,COLUMBIA COUNTY,315302.29,0,370039.71,0
920786,COLUMBIA COUNTY,109954.93,0,131220.21,0
232605,COLUMBIA COUNTY,180630.62,0,222258.75,0
601984,COLUMBIA COUNTY,124374.9,0,178903.34,0
459878,COLUMBIA COUNTY,134464.05,0,189045.7,0
565530,COLUMBIA COUNTY,496159.61,0,489018.88,0
202651,COLUMBIA COUNTY,2311064.6,0,2670204.04,0
909104,COLUMBIA COUNTY,72279,72279,123617.33,0
872719,COLUMBIA COUNTY,22356.54,0,22455.91,0
997611,COLUMBIA COUNTY,16767.17,0,21121.61,0
519606,COLUMBIA COUNTY,16767.17,0,26327.41,0
624248,COLUMBIA COUNTY,396814.48,0,433692.83,0
783767,COLUMBIA COUNTY,167668.04,0,255938.56,0
285479,COLUMBIA COUNTY,16767.17,0,12877.19,0
424793,COLUMBIA COUNTY,16767.17,0,20170.81,0
256213,COLUMBIA COUNTY,22356.54,0,24969.08,0
155199,COLUMBIA COUNTY,22356.54,0,27389.44,0
830871,COLUMBIA COUNTY,16767.17,0,23608.18,0
757768,COLUMBIA COUNTY,16767.17,0,14548.41,0
176583,COLUMBIA COUNTY,344852.16,0,433818.5,0
678864,COLUMBIA COUNTY,68970.43,0,96002.7,0
854000,COLUMBIA COUNTY,91960.58,0,80292.62,0
631978,COLUMBIA COUNTY,25748.96,0,36460.53,0
967058,COLUMBIA COUNTY,25105.24,0,30475.72,0
878374,COLUMBIA COUNTY,38623.44,0,60957.06,0
113053,COLUMBIA COUNTY,9196.06,0,7797.29,0
288738,COLUMBIA COUNTY,9196.06,0,12297.35,0
594369,COLUMBIA COUNTY,38623.44,0,42941.54,0
706890,COLUMBIA COUNTY,45980.29,0,63408.66,0
536032,COLUMBIA COUNTY,137940.86,0,213321.55,0
747825,COLUMBIA COUNTY,27944.98,0,47665.19,0
608124,COLUMBIA COUNTY,22356.54,0,37227.66,0
934739,COLUMBIA COUNTY,89423.38,0,126691.92,0
757078,COLUMBIA COUNTY,16767.17,0,16711.17,0
956518,COLUMBIA COUNTY,12250.99,0,17567.13,0
548584,COLUMBIA COUNTY,30686.32,0,40211.36,0
132904,COLUMBIA COUNTY,59774.37,0,50210.47,0
111857,COLUMBIA COUNTY,32186.2,0,38484.4,0
388383,COLUMBIA COUNTY,11549.33,0,16277.72,0
276410,BRADFORD COUNTY,2070,2070,1875.38,0
546756,BRADFORD COUNTY,42481.06,0,44399.5,0
669229,MADISON COUNTY,321053.4,321053.4,518064.61,0
766573,MADISON COUNTY,132651,132651,220996.57,0
765578,MADISON COUNTY,23400,23400,18558.54,0
166613,MADISON COUNTY,0,0,9630000,0
883261,MADISON COUNTY,977330.7,0,790445.52,0
842655,MADISON COUNTY,1222262.42,0,1186037.01,0
248167,SUWANNEE COUNTY,493833.6,493833.6,694889.06,0
976562,SUWANNEE COUNTY,305427.6,0,269112.26,0
620457,SUWANNEE COUNTY,288279,0,264045.11,0
336697,SUWANNEE COUNTY,910695.68,0,847083.59,0
648295,SUWANNEE COUNTY,14066.75,0,14922.01,0
858080,SUWANNEE COUNTY,7571.54,0,6481.05,0
579910,SUWANNEE COUNTY,702715.18,0,644961.83,0
735184,SUWANNEE COUNTY,132894.53,0,153444.94,0
420445,SUWANNEE COUNTY,14066.75,0,18409.67,0
373504,SUWANNEE COUNTY,113441.57,0,141507.02,0
266080,SUWANNEE COUNTY,123449.03,0,205071.55,0
